ENERGY,XSECTN
63.2,5.8798135615606975e-21
63.3,5.828785837081994e-21
63.4,5.77834494647911e-21
63.5,5.728678434496563e-21
63.6,5.679674118779669e-21
63.7,5.631320143240606e-21
63.8,5.5836049179151225e-21
63.9,5.5365171117621856e-21
64.0,5.489945848993512e-21
64.1,5.4439804281044926e-21
64.2,5.398710091593705e-21
64.3,5.354024300024323e-21
64.4,5.309813155071822e-21
64.5,5.2662666551794575e-21
64.6,5.223274943235667e-21
64.7,5.180828526193405e-21
64.8,5.138918114489305e-21
64.9,5.097534616793479e-21
65.0,5.0566691349182464e-21
65.1,5.016312958880224e-21
65.2,4.976357620073669e-21
65.3,4.936994859937276e-21
65.4,4.898116357060964e-21
65.5,4.8597141077879474e-21
65.6,4.8217802740976044e-21
65.7,4.784307179483053e-21
65.8,4.747287304948982e-21
65.9,4.710713285125619e-21
66.0,4.674577904495003e-21
66.1,4.6388740937258646e-21
66.2,4.603594926113437e-21
66.3,4.568733614120838e-21
66.4,4.5342835060186134e-21
66.5,4.500238082619289e-21
66.6,4.466590954103796e-21
66.7,4.4333358569368676e-21
66.8,4.400466650868518e-21
66.9,4.367977316018736e-21
67.0,4.335861950042976e-21
67.1,4.304114765375578e-21
67.2,4.272730086548958e-21
67.3,4.241702347585938e-21
67.4,4.211026089463023e-21
67.5,4.1805960344078555e-21
67.6,4.1506069331141425e-21
67.7,4.1209535525053286e-21
67.8,4.091630837350633e-21
67.9,4.062633827678691e-21
68.0,4.033957656622634e-21
68.1,4.005597548322108e-21
68.2,3.977548815880557e-21
68.3,3.949806859376069e-21
68.4,3.922367163924188e-21
68.5,3.89522529779115e-21
68.6,3.868376910556035e-21
68.7,3.841817731320317e-21
68.8,3.815543566963532e-21
68.9,3.789550300443567e-21
69.0,3.763833889140423e-21
69.1,3.73839036324195e-21
69.2,3.713215824170619e-21
69.3,3.688306443049864e-21
69.4,3.663658459209037e-21
69.5,3.6392681787258194e-21
69.6,3.615131973004913e-21
69.7,3.591246277392178e-21
69.8,3.567607589822963e-21
69.9,3.54421246950389e-21
70.0,3.521057535627004e-21
70.1,3.498039578565771e-21
70.2,3.4753553640530595e-21
70.3,3.452901540219579e-21
70.4,3.430674953960841e-21
70.5,3.408572622299981e-21
70.6,3.3867918874692876e-21
70.7,3.3652292459185263e-21
70.8,3.343881754077013e-21
70.9,3.3227465181031825e-21
71.0,3.3018206928771373e-21
71.1,3.2811014810169183e-21
71.2,3.260586131918017e-21
71.3,3.2401720358066676e-21
71.4,3.2200564883525983e-21
71.5,3.2001368229214686e-21
71.6,3.1804104668560154e-21
71.7,3.160874889800043e-21
71.8,3.141527602864467e-21
71.9,3.12236615781246e-21
72.0,3.1033881462633142e-21
72.1,3.084591198914462e-21
72.2,3.065972984781202e-21
72.3,3.0475312104536922e-21
72.4,3.0292636193706896e-21
72.5,3.0111679911097294e-21
72.6,2.993142635477581e-21
72.7,2.9752855908930654e-21
72.8,2.9576940521021298e-21
72.9,2.940265933859713e-21
73.0,2.922999186402293e-21
73.1,2.905891792166152e-21
73.2,2.888941765180861e-21
73.3,2.872147150476201e-21
73.4,2.8555060235019523e-21
73.5,2.8390164895604158e-21
73.6,2.822676683251212e-21
73.7,2.8064847679281733e-21
73.8,2.7903389726201645e-21
73.9,2.7744380115932144e-21
74.0,2.7586795949842078e-21
74.1,2.743061995993987e-21
74.2,2.727583514031951e-21
74.3,2.712242474239157e-21
74.4,2.697037227021494e-21
74.5,2.6819661475927666e-21
74.6,2.6670276355273616e-21
74.7,2.6521201171679884e-21
74.8,2.637442176240245e-21
74.9,2.6228921429217817e-21
75.0,2.608468509941806e-21
75.1,2.59416979229012e-21
75.2,2.5799945268229412e-21
75.3,2.5659412718768634e-21
75.4,2.5520086068907196e-21
75.5,2.5381951320352265e-21
75.6,2.524499467850236e-21
75.7,2.5109202548892896e-21
75.8,2.4974561533714944e-21
75.9,2.484105842840395e-21
76.0,2.4708680218297648e-21
76.1,2.457641595955571e-21
76.2,2.4446251135159013e-21
76.3,8.846203787178882e-17
76.4,1.5476508677820384e-17
76.5,5.9664780192439426e-18
76.6,3.071606393587842e-18
76.7,1.8418362863690536e-18
76.8,1.2141319320491694e-18
76.9,8.538482244043907e-19
77.0,6.294318308241886e-19
77.1,4.809423101937033e-19
77.2,3.780156209180125e-19
77.3,3.03987642109863e-19
77.4,2.4912009605424027e-19
77.5,2.074264111063094e-19
77.6,1.750694621132519e-19
77.7,1.4950213854271526e-19
77.8,1.2898245547361164e-19
77.9,1.122880244025377e-19
78.0,9.854153367883804e-20
78.1,8.710115336970499e-20
78.2,7.748860683177325e-20
78.3,6.934215998798293e-20
78.4,6.238430899136736e-20
78.5,5.63994588735995e-20
78.6,5.1218179065833363e-20
78.7,4.6705917820262243e-20
78.8,4.275479334978899e-20
78.9,3.927754234378867e-20
79.0,3.6202903840190166e-20
79.1,3.3472509643726154e-20
79.2,3.1038084638088263e-20
79.3,2.8859143499279207e-20
79.4,2.6902134145136523e-20
79.5,2.513851743163208e-20
79.6,2.3544203644843003e-20
79.7,2.2098685207026227e-20
79.8,2.0784421936617504e-20
79.9,1.9586345192419474e-20
80.0,1.8491455449372258e-20
80.1,1.7488493804041453e-20
80.2,1.656767235581417e-20
80.3,1.5720451761165957e-20
80.4,1.4939356802871497e-20
80.5,1.4217722838175086e-20
80.6,1.3549967599813357e-20
80.7,1.29308817088172e-20
80.8,1.2355939201044792e-20
80.9,1.1821119789736092e-20
81.0,1.1322843277098793e-20
81.1,1.0857813645135313e-20
81.2,1.0423371163902694e-20
81.3,1.0016851086213491e-20
81.4,9.635948504900462e-21
81.5,9.278587663375995e-21
81.6,8.942895457011491e-21
81.7,8.62717841428775e-21
81.8,8.329902647973522e-21
81.9,8.049676348740713e-21
82.0,7.78503465772791e-21
82.1,7.535226108721783e-21
82.2,7.29899996230638e-21
82.3,7.075397023555746e-21
82.4,6.86353995981591e-21
82.5,6.66262515578885e-21
82.6,6.471915490863758e-21
82.7,6.2907339219589895e-21
82.8,6.118457771428342e-21
82.9,5.9544138954938156e-21
83.0,5.798273400283843e-21
83.1,5.649448198071967e-21
83.2,5.507487255815822e-21
83.3,5.3716734562417234e-21
83.4,5.242221303912492e-21
83.5,5.118471165592624e-21
83.6,5.000090376993601e-21
83.7,4.88676985016802e-21
83.8,5.605224900261027e-21
83.9,5.312666861906441e-21
84.0,5.1165026583438125e-21
84.1,4.955642341310738e-21
84.2,4.814897333842584e-21
84.3,4.687865570397406e-21
84.4,4.571146889243818e-21
84.5,4.462672968339613e-21
84.6,4.3610658968460465e-21
84.7,4.265345416852253e-21
84.8,4.174778623488101e-21
84.9,4.0887958583910665e-21
85.0,4.006940418409712e-21
85.1,3.9288368506837216e-21
85.2,3.854170078513241e-21
85.3,3.782671148405732e-21
85.4,3.714107190539677e-21
85.5,3.648174415314243e-21
85.6,3.584892273283275e-21
85.7,3.5239991778956846e-21
85.8,3.465350095724011e-21
85.9,3.408713841226179e-21
86.0,3.354170882670519e-21
86.1,3.301511918226141e-21
86.2,3.2506366030057682e-21
